n_basis,N,energy,n_fock
12,1,7.498639127811275,189
12,2,7.700551301882943,189
12,3,7.90329427950576,189
12,4,7.999999999999985,189
12,5,8.49863912781127,189
14,1,7.395499353081281,339
14,2,7.665151490653391,339
14,3,7.890459964355266,339
14,4,8.000000000000009,339
14,5,8.395499353081284,339
16,1,7.329426301152645,564
16,2,7.6385784822227265,564
16,3,7.880603716689973,564
16,4,8.00000000000002,564
16,5,8.32942630115265,564
18,1,7.283351897228812,885
18,2,7.61772493519723,885
18,3,7.8727848151706565,885
18,4,7.99999999999997,885
18,5,8.283351897228801,885
20,1,7.2489471450180805,1326
20,2,7.601014051608426,1326
20,3,7.866418963501826,1326
20,4,8.000000000000005,1326
20,5,8.248947145018063,1326
22,1,7.221917001579737,1914
22,2,7.587347895515461,1914
22,3,7.861139298381091,1914
22,4,7.999999999999976,1914
22,5,8.221917001579694,1914
24,1,7.199891105482246,2678
24,2,7.575941582773298,2678
24,3,7.856694903073401,2678
24,4,8.000000000000014,2678
24,5,8.199891105482232,2678
26,1,7.181460718659317,3650
26,2,7.566244202369349,3650
26,3,7.852902819057887,3650
26,4,8.00000000000001,3650
26,5,8.181460718659265,3650
28,1,7.165728500437646,4865
28,2,7.557869274002061,4865
28,3,7.849626238706007,4865
28,4,8.000000000000002,4865
28,5,8.165728500437645,4865
30,1,7.152088750393948,6360
30,2,7.550541181373129,6360
30,3,7.846762120655694,6360
30,4,8.000000000000027,6360
30,5,8.152088750393958,6360
32,1,7.140113508068069,8175
32,2,7.544058593541432,8175
32,3,7.844232449660473,8175
32,4,7.999999999999992,8175
32,5,8.140113508068064,8175
34,1,7.129489445230514,10353
34,2,7.5382707370927,10353
34,3,7.841977652628756,10353
34,4,8.000000000000005,10353
34,5,8.129489445230517,10353
36,1,7.119980615592817,12939
36,2,7.533062112053463,12939
36,3,7.8399516995431835,12939
36,4,8.000000000000005,12939
36,5,8.119980615592832,12939
38,1,7.111405239793887,15981
38,2,7.5283424840280295,15981
38,3,7.83811854101234,15981
38,4,8.000000000000009,15981
38,5,8.111405239793886,15981
40,1,7.103620580625107,19530
40,2,7.524040159425335,19530
40,3,7.8364495517281,19530
40,4,7.9999999999999964,19530
40,5,8.103620580625082,19530
42,1,7.096512728719669,23639
42,2,7.520097341537649,23639
42,3,7.834921698903039,23639
42,4,7.99999999999997,23639
42,5,8.096512728719622,23639
44,1,7.089989498409635,28364
44,2,7.516466841751962,28364
44,3,7.833516221385325,28364
44,4,7.99999999999999,28364
44,5,8.089989498409631,28364
46,1,7.083975363550292,33764
46,2,7.5131096984755725,33764
46,3,7.832217666146643,33764
46,4,8.000000000000016,33764
46,5,8.0839753635503,33764
48,1,7.078407770803875,39900
48,2,7.509993419971379,39900
48,3,7.831013175892796,39900
48,4,7.999999999999967,39900
48,5,8.07840777080385,39900
50,1,7.073234406223363,46836
50,2,7.507090665824097,46836
50,3,7.829891954935937,46836
50,4,7.999999999999969,46836
50,5,8.073234406223346,46836
