n,nb,g,energy
1,14,0.004131957779867301,1.4136460554371009
1,14,0.06331695559469741,1.4424307036247337
1,14,0.13183196705028544,1.4733475479744138
1,14,0.18165384258830064,1.4946695095948828
1,14,0.2532943092876344,1.528784648187633
1,14,0.331126090929558,1.559701492537313
1,14,0.42451893151809716,1.595948827292111
1,14,0.5116939702552011,1.6311300639658848
1,14,0.5801560078930988,1.6535181236673773
1,14,0.6641724827504006,1.6801705756929644
1,14,0.7419843992106901,1.707889125799573
1,14,0.8259876306135693,1.7324093816631132
1,14,0.9224132222648956,1.7569296375266523
1,14,1.0468420982929185,1.7899786780383793
1,14,1.1650266855606617,1.8176972281449901
1,14,1.2645380020924657,1.8390191897654589
1,14,1.395125084427022,1.863539445628998
1,14,1.600279436888318,1.8933901918976543
1,14,1.730826788859606,1.9115138592750531
1,14,1.929703743924565,1.9307036247334755
1,14,2.1410096809651833,1.9509594882729209
1,14,2.358480446039545,1.9637526652452024
1,14,2.594571508032155,1.974413646055437
1,14,2.7436861831040007,1.9818763326226012
1,14,2.905209974969871,1.9872068230277184
1,14,3.1040140910355056,1.9946695095948828
1,14,3.3338741077222585,2.0021321961620466
1,14,3.5885788449059053,2.009594882729211
1,14,3.7935676541869183,2.0127931769722816
1,14,3.979942788276894,2.019189765458422
1,14,4.153869075209578,2.021321961620469
1,14,4.296739461521143,2.023454157782516
1,14,4.40235601054179,2.0277185501066097
1,14,4.507946072653591,2.0277185501066097
2,14,-0.0018077315286919582,1.4573560767590628
2,14,0.06358844641036177,1.4861407249466951
2,14,0.14457879193208767,1.5255863539445629
2,14,0.20684951462739531,1.5511727078891258
2,14,0.2847011614509528,1.5852878464818763
2,14,0.3718563350064231,1.61727078891258
2,14,0.4776980227522548,1.6577825159914712
2,14,0.5804142552543406,1.6950959488272925
2,14,0.7110940417698551,1.73454157782516
2,14,0.860413990385252,1.7750533049040518
2,14,0.953720748520044,1.7974413646055443
2,14,1.0905521196148804,1.8272921108741995
2,14,1.2584327696036235,1.8560767590618341
2,14,1.3765776265080985,1.8773987206823026
2,14,1.538187500827716,1.896588486140725
2,14,1.6625038074931466,1.9115138592750531
2,14,1.79922260922539,1.9232409381663111
2,14,1.9980796991087155,1.9392324093816629
2,14,2.2155703293647115,1.955223880597015
2,14,2.383331788263651,1.964818763326226
2,14,2.501377319259956,1.9701492537313432
2,14,2.6939834986557893,1.9797441364605541
2,14,2.948701479293859,1.9893390191897655
2,14,3.1040207127627166,1.995735607675906
2,14,3.3587188282191525,2.0021321961620466
2,14,3.5388827821849054,2.0085287846481874
2,14,3.7066045107205765,2.011727078891258
2,14,3.917824365307446,2.018123667377399
2,14,4.302957263372578,2.0245202558635396
2,14,4.5017481359837905,2.029850746268657
3,14,0.001748135983789978,1.5298507462686575
3,14,0.1325603570435313,1.5906183368869935
3,14,0.2259863062681272,1.6321961620469085
3,14,0.36297659881603506,1.6876332622601289
3,14,0.531036035439484,1.7452025586353945
3,14,0.7425671112052868,1.8017057569296377
3,14,0.9229495821690131,1.8432835820895521
3,14,1.1157080612907069,1.8773987206823026
3,14,1.3146578553549908,1.908315565031983
3,14,1.538472235097803,1.9424307036247335
3,14,1.799547073858745,1.9754797441364604
3,14,1.9922393357083261,1.9989339019189765
3,14,2.197360579533566,2.023454157782516
3,14,2.4211219854586865,2.0490405117270787
3,14,2.5764809492908127,2.0618336886993602
3,14,2.775357904355772,2.0810234541577826
3,14,2.893423300533711,2.08955223880597
3,14,3.0052775165874266,2.098081023454158
3,14,3.1916990027678818,2.1119402985074625
3,14,3.390549470923996,2.126865671641791
3,14,3.6577229204465693,2.1417910447761193
3,14,3.9311075500933654,2.156716417910448
3,14,4.1796209723344235,2.1673773987206824
3,14,4.5026950429750086,2.1823027718550105
