flavor,x,rho
up,-3.5085066162570895,-0.0058902495822028555
up,-3.4328922495274106,0.02674127649470881
up,-3.3572778827977316,0.09198149822379298
up,-3.300567107750473,0.1572160123466939
up,-3.258979206049152,0.21278412463585483
up,-3.2211720226843124,0.27318201327817526
up,-3.1720226843100194,0.3263369496726116
up,-3.137996219281663,0.3843182378564973
up,-3.0661625708884728,0.46646553062473184
up,-2.9792060491493397,0.5486173894779138
up,-2.8431001890359178,0.5885135567062092
up,-2.6994328922495283,0.5450786736436448
up,-2.589792060491499,0.4666093623005749
up,-2.5066162570888473,0.3965861665890431
up,-2.4158790170132303,0.3072415824224002
up,-2.287334593572778,0.21428522506232728
up,-2.170132325141778,0.14064911463612884
up,-2.0453686200378076,0.08513122928138972
up,-1.9054820415879021,0.046526122571985296
up,-1.6710775047258961,0.015195930705096172
up,-1.3988657844990549,0.00440855501675852
up,-1.1190926275992448,0.0057007570568849975
up,-0.9149338374291114,0.004554669735076455
up,-0.5141776937618152,0.0022602120489856325
up,-0.1436672967863899,0.002372081130198156
up,0.3856332703213603,0.002531894103358745
up,0.8241965973534979,0.0026643105668349154
up,1.4139886578449907,0.008881035222781053
up,1.769376181474481,0.02831200971662895
up,2.0945179584120996,0.10812032547053474
up,2.2986767485822295,0.231370373414427
up,2.4347826086956488,0.3449380382272633
up,2.5444234404536843,0.441589499831055
up,2.657844990548199,0.5322034556130895
up,2.741020793950849,0.5757068299498647
up,2.8620037807183323,0.5914438417212313
up,2.9565217391304426,0.5552404956941823
up,3.0283553875236287,0.498498899573528
up,3.088846880907372,0.4369229610147667
up,3.1342155009451798,0.3644728911536672
up,3.2022684310018885,0.2727059989224039
up,3.2589792060491476,0.2026748125622131
up,3.32703213610586,0.11573883820534614
up,3.4064272211720255,0.040883583098179965
up,3.504725897920606,0.0010581901865707177
down,-3.500945179584121,-0.008303425476926751
down,-3.3950850661625713,0.006221290740893171
down,-3.289224952741021,0.030407842707505406
down,-3.1947069943289232,0.05821415851620526
down,-3.103969754253307,0.09085025067806396
down,-3.032136105860115,0.12348063523373787
down,-2.956521739130436,0.1597353497164462
down,-2.86578449905482,0.2008255481584975
down,-2.7750472589792046,0.24191574660054926
down,-2.6805293005671107,0.29508438124982894
down,-2.551984877126653,0.3494710190588384
down,-2.434782608695653,0.4014387733669398
down,-2.351606805293006,0.43407258248632474
down,-2.2684310018903604,0.46308320319991303
down,-2.1020793950850667,0.512650338346895
down,-1.9584120982986768,0.5428869528688707
down,-1.8223062381852557,0.5634594485995823
down,-1.5425330812854439,0.5719980274513028
down,-1.4139886578449907,0.56720592129896
down,-1.2703213610586008,0.5575874633571682
down,-1.0207939508506616,0.5528318858844046
down,-0.9451795841209831,0.5444006100289496
down,-0.81663516068053,0.5528935280311946
down,-0.6994328922495292,0.5541366446581373
down,-0.4877126654064252,0.5542005698474015
down,-0.35916824196597297,0.5626934878496481
down,-0.2646502835538751,0.572383861629362
down,-0.10586011342155022,0.57243180552131
down,0.06427221172022612,0.573690903445568
down,0.23440453686200247,0.5713268129640288
down,0.4574669187145499,0.558109138562414
down,0.7750472589792068,0.5545818379405134
down,0.8922495274102076,0.5485785777558612
down,1.0245746691871442,0.5534494488735464
down,1.240075614366729,0.555929974521246
down,1.3761814744801502,0.5608019871601693
down,1.4971644612476371,0.5705003515885414
down,1.6294896030245738,0.5753712227062273
down,1.776937618147448,0.5681693652228714
down,1.9357277882797774,0.5476859081486358
down,2.0869565217391326,0.5151228733459376
down,2.211720226843102,0.4765132005515833
down,2.33648393194707,0.4342803393514334
down,2.4045368620037806,0.40893856789311767
down,2.5822306238185266,0.3304898039323123
down,2.6918714555765586,0.27255189355542675
down,2.7939508506616217,0.22668899482205962
down,2.9035916824196573,0.18082837913116556
down,3.0056710775047293,0.13496548039779732
down,3.1304347826087007,0.08186305398025673
down,3.2627599243856356,0.033593828479584475
down,3.32703213610586,0.009458644968630914
down,3.4366729678638936,-0.003793275070089086
